severity_band,n_people,observed_unique_profiles,shannon_entropy,effective_number_of_profiles
1,27317,464,3.0331976377681764,20.763520768323918
2,5811,2563,7.243146915599441,1398.4879770876419
3,2026,1769,7.410882095811321,1653.8845882833377
4,887,823,6.674312465641323,791.8028750067058
5,370,268,5.325361003210166,205.48252692866623
